sample-id	Reactor	Day	Donor	pH
May-10B	B	10	C	Controlled
May-10C	C	10	C	Controlled
May-11A	A	11	C	Controlled
May-11B	B	11	C	Controlled
May-11C	C	11	C	Controlled
May-12A	A	12	C	Controlled
May-12B	B	12	C	Controlled
May-12C	C	12	C	Controlled
May-13A	A	13	C	Controlled
May-13B	B	13	C	Controlled
May-13C	C	13	C	Controlled
May-14A	A	14	C	Controlled
May-14B	B	14	C	Controlled
May-14C	C	14	C	Controlled
May-DNAeasy	D	0	C	Controlled
May-PowerFecal	D	0	C	Controlled
Jun-1A	A	1	A+C	Controlled
Jun-1B	B	1	A+C	Controlled
Jun-1C	C	1	A+C	Controlled
Jun-2A	A	2	A+C	Controlled
Jun-2B	B	2	A+C	Controlled
Jun-2C	C	2	A+C	Controlled
Jun-3A	A	3	A+C	Controlled
Jun-3B	B	3	A+C	Controlled
Jun-3C	C	3	A+C	Controlled
Jun-4A	A	4	A+C	Controlled
Jun-4B	B	4	A+C	Controlled
Jun-4C	C	4	A+C	Controlled
Jun-5A	A	5	A+C	Controlled
Jun-5B	B	5	A+C	Controlled
Jun-5C	C	5	A+C	Controlled
Jun-6A	A	6	A+C	Controlled
Jun-6B	B	6	A+C	Controlled
Jun-6C	C	6	A+C	Controlled
Jun-7A	A	7	A+C	Controlled
Jun-7B	B	7	A+C	Controlled
Jun-7C	C	7	A+C	Controlled
Jun-8A	A	8	A+C	Controlled
Jun-8B	B	8	A+C	Controlled
Jun-8C	C	8	A+C	Controlled
Jun-9A	A	9	A+C	Controlled
Jun-9B	B	9	A+C	Controlled
Jun-9C	C	9	A+C	Controlled
Jun-10A	A	10	A+C	Controlled
Jun-10B	B	10	A+C	Controlled
Jun-10C	C	10	A+C	Controlled
Jun-11A	A	11	A+C	Controlled
Jun-11B	B	11	A+C	Controlled
Jun-11C	C	11	A+C	Controlled
Jun-12A	A	12	A+C	Controlled
Jun-12B	B	12	A+C	Controlled
Jun-12C	C	12	A+C	Controlled
Jun-13A	A	13	A+C	Controlled
Jun-13B	B	13	A+C	Controlled
Jun-13C	C	13	A+C	Controlled
Jun-14A	A	14	A+C	Controlled
Jun-14B	B	14	A+C	Controlled
Jun-14C	C	14	A+C	Controlled
Jun-DNAeasy	D	0	A+C	Controlled
Jun-PowerFecal	D	0	A+C	Controlled
Jul-1A	A	1	D	Controlled
Jul-1B	B	1	D	Controlled
Jul-1C	C	1	D	Controlled
Jul-2A	A	2	D	Controlled
Jul-2B	B	2	D	Controlled
Jul-2C	C	2	D	Controlled
Jul-3A	A	3	D	Controlled
Jul-3B	B	3	D	Controlled
Jul-3C	C	3	D	Controlled
Jul-4A	A	4	D	Controlled
Jul-4B	B	4	D	Controlled
Jul-4C	C	4	D	Controlled
Jul-5A	A	5	D	Controlled
Jul-5B	B	5	D	Controlled
Jul-5C	C	5	D	Controlled
Jul-6A	A	6	D	Controlled
Jul-6B	B	6	D	Controlled
Jul-6C	C	6	D	Controlled
Jul-7A	A	7	D	Controlled
Jul-7B	B	7	D	Controlled
Jul-7C	C	7	D	Controlled
Jul-8A	A	8	D	Controlled
Jul-8B	B	8	D	Controlled
Jul-8C	C	8	D	Controlled
Jul-9A	A	9	D	Controlled
Jul-9B	B	9	D	Controlled
Jul-9C	C	9	D	Controlled
Jul-10A	A	10	D	Controlled
Jul-10B	B	10	D	Controlled
Jul-10C	C	10	D	Controlled
Jul-11A	A	11	D	Controlled
Jul-11B	B	11	D	Controlled
Jul-11C	C	11	D	Controlled
Jul-12A	A	12	D	Controlled
Jul-12B	B	12	D	Controlled
Jul-12C	C	12	D	Controlled
Jul-13A	A	13	D	Controlled
Jul-13B	B	13	D	Controlled
Jul-13C	C	13	D	Controlled
Jul-14A	A	14	D	Controlled
Jul-14B	B	14	D	Controlled
Jul-14C	C	14	D	Controlled
Jul-DNAeasy	D	0	D	Controlled
Jul-Powerfecal	D	0	D	Controlled
Apr1C-Zijie-part6	C	1	B	Controlled
Apr1B-Zijie-part6	B	1	B	Controlled
Apr1A-Zijie-part6	A	1	B	Controlled
Apr2C-Zijie-part6	C	2	B	Controlled
Apr2B-Zijie-part6	B	2	B	Controlled
Apr2A-Zijie-part6	A	2	B	Controlled
Apr3C-Zijie-part6	C	3	B	Controlled
Apr3B-Zijie-part6	B	3	B	Controlled
Apr3A-Zijie-part6	A	3	B	Controlled
Apr4C-Zijie-part6	C	4	B	Controlled
Apr4B-Zijie-part6	B	4	B	Controlled
Apr4A-Zijie-part6	A	4	B	Controlled
Apr5C-Zijie-part6	C	5	B	Controlled
Apr5B-Zijie-part6	B	5	B	Controlled
Apr5A-Zijie-part6	A	5	B	Controlled
Apr6C-Zijie-part6	C	6	B	Controlled
Apr6B-Zijie-part6	B	6	B	Controlled
Apr6A-Zijie-part6	A	6	B	Controlled
Apr7C-Zijie-part6	C	7	B	Controlled
Apr7B-Zijie-part6	B	7	B	Controlled
Apr7A-Zijie-part6	A	7	B	Controlled
Apr8c-Zijie-part6	C	8	B	Controlled
Apr8B-Zijie-part6	B	8	B	Controlled
Apr8A-Zijie-part6	A	8	B	Controlled
Apr9C-Zijie-part6	C	9	B	Controlled
Apr9B-Zijie-part6	B	9	B	Controlled
Apr9A-Zijie-part6	A	9	B	Controlled
Apr10C-Zijie-part6	C	10	B	Controlled
Apr10B-Zijie-part6	B	10	B	Controlled
Apr10A-Zijie-part6	A	10	B	Controlled
Apr11C-Zijie-part6	C	11	B	Controlled
Apr11B-Zijie-part6	B	11	B	Controlled
Apr11A-Zijie-part6	A	11	B	Controlled
Apr12C-Zijie-part6	C	12	B	Controlled
Apr12B-Zijie-part6	B	12	B	Controlled
Apr12A-Zijie-part6	A	12	B	Controlled
Apr13C-Zijie-part6	C	13	B	Controlled
Apr13B-Zijie-part6	B	13	B	Controlled
Apr13A-Zijie-part6	A	13	B	Controlled
Apr14C-Zijie-part6	C	14	B	Controlled
Apr14B-Zijie-part6	B	14	B	Controlled
Apr14A-Zijie-part6	A	14	B	Controlled
AprPowerFecal-Zijie-part6	D	0	B	Controlled
AprFecal-DNAeasy-Zijie-part6	D	0	B	Controlled
